voiceID,mfcc_feature0,mfcc_feature1,mfcc_feature2,mfcc_feature3,mfcc_feature4,mfcc_feature5,mfcc_feature6,mfcc_feature7,mfcc_feature8,mfcc_feature9,mfcc_feature10,mfcc_feature11,mfcc_feature12,label
../data/raw/MDVR-KCL/MDVR/HC/ID10/chunk2.wav,850.3171064132586,198.09654037590846,89.50485271465283,63.167843499170466,64.33496334830072,15.34501923282234,-31.59733025561797,-1.8299230256673913,-45.75523168971661,-12.21546378122287,7.181480650120354,-29.826280117011798,-18.597959515579795,0
../data/raw/MDVR-KCL/MDVR/HC/ID10/chunk3.wav,820.0470687661149,214.34184676472836,114.31295498736083,82.32378732976167,38.50209680627023,3.9725902027566176,-38.672804933473685,14.113330219166917,-14.439181599625181,-22.478019138828383,-26.47643426130293,-45.93280604525984,-15.171862635783336,0
../data/raw/MDVR-KCL/MDVR/HC/ID10/chunk8.wav,818.3151893060315,223.61312439097125,66.3429836188602,60.85841786432392,9.37036173216172,-14.193564848551555,-23.956430982482566,18.681202831635638,-34.20483206632603,-4.1714759508896915,3.7104324464344107,-37.67165491148882,-14.202728116974292,0
../data/raw/MDVR-KCL/MDVR/HC/ID10/chunk7.wav,787.5573038183176,203.9622159831852,91.39567108899314,47.26493127075111,42.519806519326885,16.070086440834825,-34.04691896600651,-2.3648038799340547,-30.208684738610817,-5.093003979435723,-0.03305131486711424,-23.71944187490601,-19.915062009271622,0
../data/raw/MDVR-KCL/MDVR/HC/ID10/chunk23.wav,854.8869594810774,158.5618784713996,66.8260256473994,42.73129530540742,-4.329022690794156,4.724258949845606,-25.660702962265052,8.949376894567685,-27.73523241479161,-10.25212144434908,-5.337176993719588,-21.582629931861185,-27.04118737740091,0
../data/raw/MDVR-KCL/MDVR/HC/ID10/chunk13.wav,845.9024316910877,253.64842365796045,113.08275895742533,72.22571241758132,32.788356124643144,-0.8463076921524604,-35.690801931246085,13.296010848202261,-7.485769011989284,-18.85741511493779,-9.370829615402062,-41.77157244264036,-19.494358854573086,0
../data/raw/MDVR-KCL/MDVR/HC/ID10/chunk25.wav,798.1452693226269,256.3995804382396,77.0560864643967,15.907887112705223,34.73410921432375,-12.48248593774381,-43.524887021621595,8.020877930952118,-27.958187531986383,-0.3364197106863594,-7.259064279400237,-24.051145413942,-31.5289277527379,0
../data/raw/MDVR-KCL/MDVR/HC/ID10/chunk26.wav,894.6418064236879,178.89530088465364,69.84999068743484,45.92557520999015,24.464560281344458,20.775074469314916,-19.83882944006453,0.7731152378101968,-32.45752280081665,-2.1775700198074075,4.158919269173499,-21.198901263556625,-29.343682662534682,0
../data/raw/MDVR-KCL/MDVR/HC/ID10/chunk12.wav,816.6499047741289,249.81472466898794,84.7410427922964,52.664993254197775,48.82618724150614,-1.533599221417186,-28.61267480099836,-0.11725619130969063,-26.204153412068745,-15.60136994727395,-12.441216160047592,-35.97729774611699,-18.608486682399462,0
../data/raw/MDVR-KCL/MDVR/HC/ID10/chunk15.wav,775.9927501055337,183.1537562902616,87.25597937382706,46.74142868204088,35.85624271182629,18.27804801371706,-16.832802502560565,-2.960365797492497,-22.44489089552501,-0.5208242484462928,-2.5140756568493203,-20.37258171645209,-22.30987673451996,0
../data/raw/MDVR-KCL/MDVR/HC/ID10/chunk5.wav,774.7609491039466,276.8405136748208,71.09496142502135,14.474879124869343,31.781772192550417,-0.9754415373420352,-1.2157198279949937,7.211680345112982,-53.00549200103989,-3.1006472609930866,8.611948841660922,-13.620453100521795,-4.17581327865054,0
../data/raw/MDVR-KCL/MDVR/HC/ID10/chunk0.wav,960.096061999615,190.94847953651893,49.48476996641697,74.12922855207567,88.2221830797557,10.21422144228844,-46.60938557445087,-15.36371707270171,-35.60740632466432,5.878186456420926,9.912778563922458,-36.0416936770657,-20.331383738613575,0
